,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,Year,Month
17909,199805,31,533,199805,31,533,2076963,5645876,MICHIGAN,1998,Thunderstorm Wind,C,69,IOSCO,APX,31-MAY-98 05:33:00,EST,31-MAY-98 05:33:00,0,0,0,0,1998,5
17968,199805,31,415,199805,31,415,2076963,5645760,MICHIGAN,1998,Thunderstorm Wind,C,165,WEXFORD,APX,31-MAY-98 04:15:00,EST,31-MAY-98 04:15:00,0,0,0,0,1998,5
17969,199805,31,415,199805,31,415,2076963,5645761,MICHIGAN,1998,Thunderstorm Wind,C,165,WEXFORD,APX,31-MAY-98 04:15:00,EST,31-MAY-98 04:15:00,0,0,0,0,1998,5
18043,199804,16,1600,199804,16,1600,2074721,5639682,MICHIGAN,1998,Hail,C,87,LAPEER,DTX,16-APR-98 16:00:00,EST,16-APR-98 16:00:00,0,0,0,0,1998,4
18143,199805,29,115,199805,29,115,2081018,5654893,MICHIGAN,1998,Thunderstorm Wind,C,67,IONIA,GRR,29-MAY-98 01:15:00,EST,29-MAY-98 01:15:00,0,0,0,0,1998,5
18175,199801,4,1700,199801,4,2345,2078635,5650301,MICHIGAN,1998,Winter Weather,Z,40,CLARE,GRR,04-JAN-98 17:00:00,EST,04-JAN-98 23:45:00,0,0,0,0,1998,1
18176,199801,7,1700,199801,8,1600,2078636,5650302,MICHIGAN,1998,Winter Storm,Z,37,MASON,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18177,199801,7,1700,199801,8,1600,2078636,5650303,MICHIGAN,1998,Winter Storm,Z,38,LAKE,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18178,199801,7,1700,199801,8,1600,2078636,5650304,MICHIGAN,1998,Winter Storm,Z,39,OSCEOLA,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18179,199801,7,1700,199801,8,1600,2078636,5650305,MICHIGAN,1998,Winter Storm,Z,40,CLARE,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18180,199801,7,1700,199801,8,1600,2078636,5650306,MICHIGAN,1998,Winter Storm,Z,43,OCEANA,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18181,199801,7,1700,199801,8,1600,2078636,5650307,MICHIGAN,1998,Winter Storm,Z,44,NEWAYGO,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18182,199801,7,1700,199801,8,1600,2078636,5650308,MICHIGAN,1998,Winter Storm,Z,45,MECOSTA,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18183,199801,7,1700,199801,8,1600,2078636,5650360,MICHIGAN,1998,Winter Storm,Z,46,ISABELLA,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18184,199801,7,1700,199801,8,1600,2078636,5650361,MICHIGAN,1998,Winter Storm,Z,50,MUSKEGON,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18185,199801,7,1700,199801,8,1600,2078636,5650362,MICHIGAN,1998,Winter Storm,Z,51,MONTCALM,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18186,199801,7,1700,199801,8,1600,2078636,5650363,MICHIGAN,1998,Winter Storm,Z,52,GRATIOT,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18187,199801,7,1700,199801,8,1600,2078636,5650364,MICHIGAN,1998,Winter Storm,Z,56,OTTAWA,GRR,07-JAN-98 17:00:00,EST,08-JAN-98 16:00:00,0,0,0,0,1998,1
18199,199805,31,425,199805,31,425,2081019,5654984,MICHIGAN,1998,Thunderstorm Wind,C,81,KENT,GRR,31-MAY-98 04:25:00,EST,31-MAY-98 04:25:00,0,0,0,0,1998,5
18200,199805,31,429,199805,31,429,2081019,5654985,MICHIGAN,1998,Thunderstorm Wind,C,81,KENT,GRR,31-MAY-98 04:29:00,EST,31-MAY-98 04:29:00,0,0,0,0,1998,5
18228,199801,8,800,199801,8,2300,2072543,5627428,MICHIGAN,1998,Winter Storm,Z,30,ALCONA,APX,08-JAN-98 08:00:00,EST,08-JAN-98 23:00:00,0,0,0,0,1998,1
18279,199805,19,1415,199805,19,1415,2076961,5647383,MICHIGAN,1998,Thunderstorm Wind,C,1,ALCONA,APX,19-MAY-98 14:15:00,EST,19-MAY-98 14:15:00,0,0,0,0,1998,5
18367,199801,21,600,199801,21,1200,2078639,5650386,MICHIGAN,1998,Winter Weather,Z,45,MECOSTA,GRR,21-JAN-98 06:00:00,EST,21-JAN-98 12:00:00,0,0,0,0,1998,1
18368,199801,22,1900,199801,23,1000,2078640,5650396,MICHIGAN,1998,Winter Storm,Z,45,MECOSTA,GRR,22-JAN-98 19:00:00,EST,23-JAN-98 10:00:00,0,0,0,0,1998,1
18369,199801,14,1900,199801,15,100,2078638,5650385,MICHIGAN,1998,Heavy Snow,Z,64,ALLEGAN,GRR,14-JAN-98 19:00:00,EST,15-JAN-98 01:00:00,0,0,0,0,1998,1
18486,199805,6,1508,199805,6,1508,2076960,5647372,MICHIGAN,1998,Hail,C,143,ROSCOMMON,APX,06-MAY-98 15:08:00,EST,06-MAY-98 15:08:00,0,0,0,0,1998,5
18487,199805,6,1553,199805,6,1553,2076960,5647373,MICHIGAN,1998,Hail,C,129,OGEMAW,APX,06-MAY-98 15:53:00,EST,06-MAY-98 15:53:00,0,0,0,0,1998,5
18488,199805,6,1608,199805,6,1608,2076960,5647374,MICHIGAN,1998,Hail,C,1,ALCONA,APX,06-MAY-98 16:08:00,EST,06-MAY-98 16:08:00,0,0,0,0,1998,5
18489,199805,19,1157,199805,19,1157,2076961,5647375,MICHIGAN,1998,Hail,C,137,OTSEGO,APX,19-MAY-98 11:57:00,EST,19-MAY-98 11:57:00,0,0,0,0,1998,5
