,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,Year,Month
30805,200005,12,1930,200005,12,1930,1095065,5144056,MICHIGAN,2000,Hail,C,15,BARRY,GRR,12-MAY-00 19:30:00,EST,12-MAY-00 19:30:00,0,0,0,0,NWS STORM SURVEY,2000,5
30806,200005,12,1852,200005,12,1852,1095065,5144057,MICHIGAN,2000,Hail,C,5,ALLEGAN,GRR,12-MAY-00 18:52:00,EST,12-MAY-00 18:52:00,0,0,0,0,TRAINED SPOTTER,2000,5
30807,200005,12,1803,200005,12,1803,1095065,5144058,MICHIGAN,2000,Hail,C,123,NEWAYGO,GRR,12-MAY-00 18:03:00,EST,12-MAY-00 18:03:00,0,0,0,0,BROADCAST MEDIA,2000,5
30820,200005,12,1620,200005,12,1620,1094838,5144169,MICHIGAN,2000,Hail,C,113,MISSAUKEE,APX,12-MAY-00 16:20:00,EST,12-MAY-00 16:20:00,0,0,0,0,EMERGENCY MANAGER,2000,5
30848,200005,18,700,200005,20,1000,1095067,5144924,MICHIGAN,2000,Flash Flood,C,77,KALAMAZOO,GRR,18-MAY-00 07:00:00,EST,20-MAY-00 10:00:00,0,0,0,0,NWS STORM SURVEY,2000,5
30851,200005,18,1326,200005,18,1326,1095066,5144065,MICHIGAN,2000,Hail,C,139,OTTAWA,GRR,18-MAY-00 13:26:00,EST,18-MAY-00 13:26:00,0,0,0,0,AMATEUR RADIO,2000,5
30856,200005,18,515,200005,20,1000,1095067,5144344,MICHIGAN,2000,Flash Flood,C,81,KENT,GRR,18-MAY-00 05:15:00,EST,20-MAY-00 10:00:00,0,0,0,0,LAW ENFORCEMENT,2000,5
30893,200005,18,1502,200005,18,1502,1095066,5144134,MICHIGAN,2000,Hail,C,5,ALLEGAN,GRR,18-MAY-00 15:02:00,EST,18-MAY-00 15:02:00,0,0,0,0,TRAINED SPOTTER,2000,5
30897,200005,18,1555,200005,18,1555,1095066,5144139,MICHIGAN,2000,Hail,C,15,BARRY,GRR,18-MAY-00 15:55:00,EST,18-MAY-00 15:55:00,0,0,0,0,TRAINED SPOTTER,2000,5
30910,200005,12,1702,200005,12,1702,1094838,5144170,MICHIGAN,2000,Hail,C,89,LEELANAU,APX,12-MAY-00 17:02:00,EST,12-MAY-00 17:02:00,0,0,0,0,TRAINED SPOTTER,2000,5
30911,200005,12,1709,200005,12,1709,1094838,5144171,MICHIGAN,2000,Hail,C,89,LEELANAU,APX,12-MAY-00 17:09:00,EST,12-MAY-00 17:09:00,0,0,0,0,TRAINED SPOTTER,2000,5
30912,200005,9,1846,200005,9,1900,1094970,5144374,MICHIGAN,2000,Thunderstorm Wind,C,91,LENAWEE,DTX,09-MAY-00 18:46:00,EST,09-MAY-00 19:00:00,3,0,0,0,NWS STORM SURVEY,2000,5
30913,200005,9,1900,200005,9,1905,1094970,5144375,MICHIGAN,2000,Thunderstorm Wind,C,91,LENAWEE,DTX,09-MAY-00 19:00:00,EST,09-MAY-00 19:05:00,0,0,0,0,NWS STORM SURVEY,2000,5
30914,200005,9,1900,200005,9,1900,1094970,5144376,MICHIGAN,2000,Hail,C,91,LENAWEE,DTX,09-MAY-00 19:00:00,EST,09-MAY-00 19:00:00,0,0,0,0,GENERAL PUBLIC,2000,5
30915,200005,9,1933,200005,9,1933,1094970,5144377,MICHIGAN,2000,Thunderstorm Wind,C,93,LIVINGSTON,DTX,09-MAY-00 19:33:00,EST,09-MAY-00 19:33:00,0,0,0,0,TRAINED SPOTTER,2000,5
30916,200005,9,2032,200005,9,2032,1094970,5144378,MICHIGAN,2000,Thunderstorm Wind,C,99,MACOMB,DTX,09-MAY-00 20:32:00,EST,09-MAY-00 20:32:00,0,0,0,0,LAW ENFORCEMENT,2000,5
30951,200005,18,700,200005,20,1000,1095067,5144353,MICHIGAN,2000,Flash Flood,C,15,BARRY,GRR,18-MAY-00 07:00:00,EST,20-MAY-00 10:00:00,0,0,0,0,NWS STORM SURVEY,2000,5
30952,200005,18,700,200005,20,1000,1095067,5144354,MICHIGAN,2000,Flash Flood,C,159,VAN BUREN,GRR,18-MAY-00 07:00:00,EST,20-MAY-00 10:00:00,0,0,0,0,NWS STORM SURVEY,2000,5
30954,200009,11,1718,200009,12,420,1103365,5174390,MICHIGAN,2000,Flash Flood,C,163,WAYNE,DTX,11-SEP-00 17:18:00,EST,12-SEP-00 04:20:00,0,0,0,0,LAW ENFORCEMENT,2000,9
