,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,END_RANGE,Year,Month
1992,199308,30,1640,199308,30,1640,10331605,MICHIGAN,1993,Hail,C,143,ROSCOMMON,30-AUG-93 16:40:00,EST,30-AUG-93 16:40:00,0,0,0,0,0,0,0.75,0.0,0,34,0,1993,8
1993,199308,30,1645,199308,30,1645,10331606,MICHIGAN,1993,Thunderstorm Wind,C,143,ROSCOMMON,30-AUG-93 16:45:00,EST,30-AUG-93 16:45:00,0,0,0,0,.5K,0,0.0,0.0,0,0,38,1993,8
1994,199308,3,1345,199308,3,1345,10331607,MICHIGAN,1993,Hail,C,165,WEXFORD,03-AUG-93 13:45:00,EST,03-AUG-93 13:45:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,8
1995,199308,30,1605,199308,30,1605,10331608,MICHIGAN,1993,Thunderstorm Wind,C,165,WEXFORD,30-AUG-93 16:05:00,EST,30-AUG-93 16:05:00,0,0,0,0,0,0,0.0,0.0,0,3,0,1993,8
2007,199304,24,1740,199304,24,1740,10329443,MICHIGAN,1993,Thunderstorm Wind,C,39,CRAWFORD,24-APR-93 17:40:00,EST,24-APR-93 17:40:00,0,0,0,0,5K,0,0.0,0.0,0,0,0,1993,4
2069,199308,15,1720,199308,15,1720,10331416,MICHIGAN,1993,Thunderstorm Wind,C,125,OAKLAND,15-AUG-93 17:20:00,EST,15-AUG-93 17:20:00,0,0,0,0,5K,0,52.0,0.0,0,0,0,1993,8
2213,199304,24,1730,199304,24,1730,10329442,MICHIGAN,1993,Hail,C,39,CRAWFORD,24-APR-93 17:30:00,EST,24-APR-93 17:30:00,0,0,0,0,0,0,0.75,0.0,0,7,0,1993,4
2321,199308,23,2030,199308,23,2030,10329265,MICHIGAN,1993,Thunderstorm Wind,C,139,OTTAWA,23-AUG-93 20:30:00,EST,23-AUG-93 20:30:00,0,0,0,0,0,0,50.0,0.0,0,3,0,1993,8
2322,199308,23,2045,199308,23,2045,10329266,MICHIGAN,1993,Thunderstorm Wind,C,139,OTTAWA,23-AUG-93 20:45:00,EST,23-AUG-93 20:45:00,0,0,0,0,5K,0,0.0,0.0,0,0,0,1993,8
2331,199308,3,1455,199308,3,1455,10331602,MICHIGAN,1993,Thunderstorm Wind,C,143,ROSCOMMON,03-AUG-93 14:55:00,EST,03-AUG-93 14:55:00,0,0,0,0,5K,0,0.0,0.0,0,35,0,1993,8
2332,199308,10,735,199308,10,735,10331603,MICHIGAN,1993,Hail,C,143,ROSCOMMON,10-AUG-93 07:35:00,EST,10-AUG-93 07:35:00,0,0,0,0,0,0,0.75,0.0,0,42,0,1993,8
2333,199308,10,1735,199308,10,1735,10331604,MICHIGAN,1993,Hail,C,143,ROSCOMMON,10-AUG-93 17:35:00,EST,10-AUG-93 17:35:00,0,0,0,0,0,0,0.75,0.0,0,42,0,1993,8
2363,199308,6,1508,199308,6,1508,10331173,MICHIGAN,1993,Hail,C,123,NEWAYGO,06-AUG-93 15:08:00,EST,06-AUG-93 15:08:00,0,0,0,0,0,0,0.75,0.0,0,1,0,1993,8
2436,199308,27,1909,199308,27,1909,10328977,MICHIGAN,1993,Thunderstorm Wind,C,111,MIDLAND,27-AUG-93 19:09:00,EST,27-AUG-93 19:09:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,8
2437,199308,27,1920,199308,27,1920,10328978,MICHIGAN,1993,Thunderstorm Wind,C,111,MIDLAND,27-AUG-93 19:20:00,EST,27-AUG-93 19:20:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,8
2438,199309,9,1758,199309,9,1758,10328979,MICHIGAN,1993,Hail,C,111,MIDLAND,09-SEP-93 17:58:00,EST,09-SEP-93 17:58:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,9
2439,199309,9,2038,199309,9,2038,10328980,MICHIGAN,1993,Thunderstorm Wind,C,111,MIDLAND,09-SEP-93 20:38:00,EST,09-SEP-93 20:38:00,0,0,0,0,.5K,0,0.0,0.0,0,5,0,1993,9
